Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Embarked_le,AgeGroup_le,Title_le,FareGroup_le,Gender_oh
0,3,-0.5292143020647938,1,0,-0.5024451714361923,0.059159876663617626,0,3.625,2,0,2,1,1.0
1,1,0.6573659702833351,1,0,0.7868452935884461,0.059159876663617626,0,35.64165,0,0,3,3,0.0
1,3,-0.23256923397776158,0,0,-0.4888542575852486,-0.5609748304808925,1,7.925,2,0,1,2,0.0
1,1,0.43488216921806094,1,0,0.4207302360686478,0.059159876663617626,0,26.55,2,0,3,3,0.0
0,3,0.43488216921806094,0,0,-0.4863374216869257,-0.5609748304808925,1,8.05,2,0,2,2,1.0
0,3,-0.23256923397776158,0,0,-0.47811642890864375,-0.5609748304808925,1,8.4583,1,0,2,0,1.0
0,1,1.843946242631464,0,0,0.395813560675251,-0.5609748304808925,1,51.8625,2,2,2,3,1.0
0,3,-2.012439642499955,3,1,-0.22408312108167944,1.9195639980971482,0,4.215,2,1,0,1,1.0
1,3,-0.1584079669560035,0,2,-0.4242561406845337,0.6792945838081278,0,3.7111,2,0,3,1,0.0
1,2,-1.1225044382388583,1,0,-0.04295550208861426,0.059159876663617626,0,15.0354,0,0,3,0,0.0
1,3,-1.8641171084564387,1,1,-0.312172377522981,0.6792945838081278,0,5.566666666666666,2,1,1,1,0.0
1,1,2.1405913107184964,0,0,-0.11384570873513637,-0.5609748304808925,1,26.55,2,2,1,3,0.0
0,3,-0.67753683610831,0,0,-0.4863374216869257,-0.5609748304808925,1,8.05,2,0,2,2,1.0
0,3,0.7315272373050932,1,5,-0.01870931177853076,3.1598334123861687,0,4.4678571428571425,2,0,2,1,1.0
0,3,-1.1225044382388583,0,0,-0.4902797934380587,-0.5609748304808925,1,7.8542,2,0,1,2,0.0
1,2,1.918107509653222,0,0,-0.3262666585535892,-0.5609748304808925,1,16.0,2,2,3,0,0.0
0,3,-2.012439642499955,4,1,-0.06199888922968463,2.5396987052416584,0,4.854166666666667,1,1,0,1,1.0
1,2,0.1382371011310287,0,0,-0.3866707201133388,-0.5609748304808925,1,13.0,2,0,2,0,1.0
0,3,0.1382371011310287,1,0,-0.2859972841804228,0.059159876663617626,0,9.0,2,0,3,0,0.0
1,3,0.1382371011310287,0,0,-0.5029485386158568,-0.5609748304808925,1,7.225,0,0,3,1,0.0
0,2,0.43488216921806094,0,0,-0.12491978668775715,-0.5609748304808925,1,26.0,2,0,2,3,1.0
1,2,0.3607209021963029,0,0,-0.3866707201133388,-0.5609748304808925,1,13.0,2,0,2,0,1.0
1,3,-1.0483431712171,0,0,-0.4867562231804066,-0.5609748304808925,1,8.0292,1,0,1,2,0.0
1,1,-0.08424669993424547,0,0,0.06635974158478332,-0.5609748304808925,1,35.5,2,0,2,3,1.0
0,3,-1.5674720403694067,3,1,-0.22408312108167944,1.9195639980971482,0,4.215,2,1,1,1,0.0
1,3,0.6573659702833351,1,5,-0.016444159470040135,3.1598334123861687,0,4.483928571428572,2,0,3,1,0.0
0,3,-0.23256923397776158,0,0,-0.5029485386158568,-0.5609748304808925,1,7.225,0,0,2,1,1.0
0,1,-0.751698103130068,3,2,4.647001076532463,2.5396987052416584,0,43.833333333333336,2,0,2,3,1.0
1,3,-0.825859370151826,0,0,-0.48977642625839407,-0.5609748304808925,1,7.8792,1,0,1,2,0.0
0,3,-0.23256923397776158,0,0,-0.4894421904510968,-0.5609748304808925,1,7.8958,2,0,2,2,1.0
0,1,0.8056885043268512,0,0,-0.09027201697708476,-0.5609748304808925,1,27.7208,0,0,4,3,1.0
1,1,0.8056885043268512,1,0,2.301728820789,0.059159876663617626,0,73.2604,0,0,3,3,0.0
1,3,-0.825859370151826,0,0,-0.49237782784290063,-0.5609748304808925,1,7.75,1,0,1,2,0.0
0,2,2.7338814468925605,0,0,-0.43700743807979686,-0.5609748304808925,1,10.5,2,2,2,0,1.0
0,1,-0.08424669993424547,1,0,1.0060617003323709,0.059159876663617626,0,41.0854,0,0,2,3,1.0
0,1,0.9540110383703673,1,0,0.39858208016340624,0.059159876663617626,0,26.0,2,0,2,3,1.0
1,3,-0.23256923397776158,0,0,-0.5028639729296732,-0.5609748304808925,1,7.2292,0,0,2,1,1.0
0,3,-0.6033755690865519,0,0,-0.4863374216869257,-0.5609748304808925,1,8.05,2,0,2,2,1.0
0,3,-0.825859370151826,2,0,-0.2859972841804228,0.6792945838081278,0,6.0,2,0,1,1,0.0
1,3,-1.1225044382388583,1,0,-0.42207354059350805,0.059159876663617626,0,5.62085,0,0,1,1,0.0
0,3,0.8056885043268512,1,0,-0.4576454924460446,0.059159876663617626,0,4.7375,2,0,3,1,0.0
0,2,-0.1584079669560035,1,0,-0.22559322262067316,0.059159876663617626,0,10.5,2,0,3,0,0.0
0,3,-0.23256923397776158,0,0,-0.4894421904510968,-0.5609748304808925,1,7.8958,0,0,2,2,1.0
1,2,-1.938278375478197,1,2,0.18876253192945994,1.299429290952638,0,10.3948,0,1,1,0,0.0
1,3,-0.751698103130068,0,0,-0.48977642625839407,-0.5609748304808925,1,7.8792,1,0,1,2,0.0
0,3,-0.23256923397776158,0,0,-0.4863374216869257,-0.5609748304808925,1,8.05,2,0,2,2,1.0
0,3,-0.23256923397776158,1,0,-0.3363340021468808,0.059159876663617626,0,7.75,1,0,2,2,1.0
1,3,-0.825859370151826,0,0,-0.49237782784290063,-0.5609748304808925,1,7.75,1,0,1,2,0.0
0,3,-0.23256923397776158,2,0,-0.21191774308354583,0.6792945838081278,0,7.226400000000001,0,0,2,1,1.0
0,3,-0.825859370151826,1,0,-0.29002422161773944,0.059159876663617626,0,8.9,2,0,3,0,0.0
0,3,-1.6416333073911646,4,1,0.1506737441786005,2.5396987052416584,0,6.614583333333333,2,1,0,1,1.0
0,3,-0.6033755690865519,0,0,-0.4913710934835715,-0.5609748304808925,1,7.8,2,0,2,2,1.0
1,1,1.4731399075226737,1,0,0.8964967865378598,0.059159876663617626,0,38.3646,0,2,3,3,0.0
1,2,-0.010085432912487412,1,0,-0.12491978668775715,0.059159876663617626,0,13.0,2,0,3,0,0.0
0,1,2.659720179870803,0,1,0.5995101505357573,0.059159876663617626,0,30.9896,0,2,2,3,1.0
1,1,0.8056885043268512,0,0,0.06635974158478332,-0.5609748304808925,1,35.5,2,0,2,3,1.0
1,2,-0.6033755690865519,0,0,-0.43700743807979686,-0.5609748304808925,1,10.5,2,0,1,0,0.0
0,3,-0.04716606642336644,0,0,-0.5028639729296732,-0.5609748304808925,1,7.2292,0,0,2,1,1.0
1,2,-1.7899558414346808,1,2,-0.08968408411123653,1.299429290952638,0,6.9375,2,1,1,1,0.0
0,3,-1.3449882393041324,5,2,0.2958951755118318,3.779968119530679,0,5.8625,2,1,0,1,1.0
0,3,-0.5292143020647938,0,0,-0.5028639729296732,-0.5609748304808925,1,7.2292,0,0,2,1,1.0
1,1,0.6573659702833351,0,0,0.962353321387736,-0.5609748304808925,1,80.0,0,0,1,3,0.0
0,1,1.1764948394356414,1,0,1.0323213593611125,0.059159876663617626,0,41.7375,2,0,2,3,1.0
0,3,-1.8641171084564387,3,2,-0.08666388103324908,2.5396987052416584,0,4.6499999999999995,2,1,0,1,1.0
0,1,0.8056885043268512,0,0,-0.09027201697708476,-0.5609748304808925,1,27.7208,0,0,2,3,1.0
1,3,-1.8641171084564387,1,1,-0.3414522396297103,0.6792945838081278,0,5.081933333333333,0,1,0,1,1.0
1,2,-0.010085432912487412,0,0,-0.43700743807979686,-0.5609748304808925,1,10.5,2,0,3,0,0.0
0,3,-0.751698103130068,0,0,-0.4841568350646187,-0.5609748304808925,1,8.1583,2,0,2,2,1.0
1,3,-0.900020637173584,4,2,-0.4888542575852486,3.1598334123861687,0,1.1321428571428571,2,0,1,1,0.0
0,3,-0.23256923397776158,2,0,-0.47400492578514347,0.6792945838081278,0,2.8874999999999997,2,0,2,1,1.0
0,2,0.21239836815278676,0,0,-0.43700743807979686,-0.5609748304808925,1,10.5,2,0,2,0,1.0
0,3,-0.9741819041953421,5,2,0.2958951755118318,3.779968119530679,0,5.8625,2,0,1,1,0.0
0,2,-0.6033755690865519,0,0,0.8314778546749452,-0.5609748304808925,1,73.5,2,0,2,3,1.0
